"democracy","econ_growth","allies","contig","cprt","trade","contdisp","mid"
-0.7,0.0529999971389771,0,0,0.317299995422363,0.000199999994947575,0,0
0.7,0.423000001907349,0,1,0.0965999984741211,0.000199999994947575,0,0
-0.7,0.436999988555908,1,1,0.0135000002384186,0.0105999996885657,0,0
-0.7,0.25699999332428,0,0,2.64209991455078,0,1,1
-0.9,-0.173000001907349,0,0,12.5771997070312,0,0,0
0.7,0.201999998092651,0,0,10.364599609375,0,0,0
-0.8,0.324000000953674,0,0,1.49649993896484,0,1,1
0.8,-0.372000002861023,0,1,0.126099996566772,0.000600000028498471,0,0
0.2,-0.771999979019165,0,1,0.0321000003814697,0.0015999999595806,0,0
0.1,-0.0159999996423721,0,1,0.416199989318848,0,0,0
-1,-0.0479999989271164,1,1,0.0295000004768372,0,0,0
-0.4,0.225999999046326,0,0,5.2375,0,0,0
-0.7,-0.046000000834465,0,0,4.22109985351562,0,0,0
-0.2,0.0219999998807907,0,0,3.00269989013672,0,0,0
-0.6,-1.475,0,0,0.176499996185303,0.000199999994947575,1,1
-0.7,0.432000017166138,0,0,0.451100006103516,0,1,1
-0.8,0.154999995231628,0,0,2.57320007324219,0,0,0
-0.9,0.475,0,1,0.1125,0,1,1
-0.8,0.383999991416931,0,0,0.162999992370605,0,0,0
-0.7,0.383999991416931,0,0,0.370800018310547,0,0,0
0.6,0.324000000953674,0,0,2.23289993286133,0.00100000004749745,0,0
-0.7,0.369000005722046,0,0,0.126300001144409,0,0,0
-0.1,0.178999996185303,1,0,2.59799987792969,0.000199999994947575,0,0
-0.7,0.223000001907349,0,1,0.107700004577637,0.00039999998989515,0,0
-0.9,-0.0479999989271164,0,0,0.252299995422363,0,0,0
-0.9,0.0910000026226044,1,1,0.0265000009536743,0.00359999993816018,1,1
-0.7,0.250999999046326,0,1,0.184099998474121,0.000600000028498471,0,0
-0.7,0.187000000476837,0,1,0.0116999995708466,0,1,1
0.4,0.164999997615814,0,0,3.00690002441406,0.000600000028498471,0,0
-0.9,-0.102999997138977,0,0,0.0175999999046326,0,1,1
-0.8,0.484999990463257,0,0,0.323800010681152,0,0,0
-0.5,-0.183000004291534,0,0,1.26540000915527,0.000199999994947575,0,0
0.4,0.372000002861023,0,1,1.135,0,0,0
-0.7,-0.116999995708466,1,1,5.82119995117187,0.000199999994947575,0,0
-0.7,-0.314000010490417,0,0,5.15070007324219,0,0,0
0.4,0.444999980926514,0,0,0.0648999977111816,0.00240000011399388,0,0
-0.9,0.430000019073486,0,0,0.977200012207031,0,0,0
-0.7,0.0610000014305115,0,0,2.71049987792969,0,0,0
-0.8,0.519999980926514,0,0,0.0250999999046326,0.000199999994947575,0,1
0.8,0.177999997138977,1,0,0.859199981689453,0.000199999994947575,0,0
-0.8,-1.36499996185303,0,1,0.0119000005722046,0.00359999993816018,0,1
